Subject,Sample,Scan
100610,1,RL
102311,1,LR
105014,1,RL
105115,1,LR
106016,1,RL
106824,1,RL
107725,1,RL
108828,1,RL
110613,1,LR
111716,1,LR
114217,1,RL
117021,1,LR
117122,1,LR
120111,1,LR
120414,1,LR
120717,1,RL
121618,1,LR
122822,1,RL
123521,1,LR
123723,1,RL
123925,1,LR
127226,1,RL
127630,1,RL
128127,1,RL
130720,1,RL
133019,1,RL
135124,1,RL
136227,1,RL
141119,1,LR
143224,1,LR
145127,1,LR
146533,1,RL
148133,1,LR
148335,1,RL
149236,1,RL
149337,1,RL
149741,1,LR
154835,1,LR
156233,1,RL
158843,1,LR
163331,1,RL
164636,1,RL
173435,1,LR
173536,1,LR
180432,1,LR
196144,1,RL
196346,1,RL
196750,1,RL
198855,1,RL
200513,1,LR
203418,2,RL
204016,2,LR
205119,2,RL
206929,2,LR
208226,2,RL
209329,2,LR
210112,2,RL
227432,2,LR
236130,2,RL
299760,2,LR
334635,2,RL
350330,2,LR
358144,2,RL
387959,2,LR
465852,2,RL
468050,2,LR
481042,2,RL
499566,2,LR
510225,2,RL
552241,2,RL
567759,2,LR
599671,2,RL
672756,2,LR
679568,2,RL
792564,2,LR
835657,2,RL
857263,2,LR
877269,2,RL
894067,2,LR
899885,2,RL
110411,2,LR
112112,2,RL
112314,2,LR
126426,2,RL
127832,2,LR
130316,2,RL
131823,2,LR
135629,2,RL
154936,2,RL
158136,2,LR
161630,2,RL
169545,2,LR
175742,2,RL
179245,2,LR
183034,2,RL
193845,2,LR
211114,2,RL
263436,2,LR
300719,2,RL
303119,2,LR
